round,name,baseScore,countryScore,totalScore,time,distance,country,lat,lng,targetLat,targetLng,targetCountry,targetState,dropId
1,TTV_noooooodels,1932,0,1932,19.738,1106.8387430322348,se,60.32742446172049,15.80356981241906,57.66157150268555,-2.89094042778015,gb,gb-scottland,43505
2,TTV_noooooodels,4661,600,5261,4.556,158.56593857695634,kr,36.46043873499685,128.4205835218495,35.18878555297852,127.62466430664062,kr,,10638
3,TTV_noooooodels,5117,600,5717,8.076,57.96938246096824,dk,56.028646468569356,9.978309994553086,55.5217836,10.1951649,dk,,44439
4,TTV_noooooodels,5113,600,5713,18.187,58.779455792721414,sk,48.7816258151908,21.098992147934336,49.29743957519531,21.27538681030273,sk,,24306
5,TTV_noooooodels,3443,600,4043,18.001,484.60407397770155,th,14.516137294209546,101.56549353382746,18.28529699895699,103.84671039061683,th,,4279296
